chi2_kahan_long, chi2_std, chi2_std_long, chi2_kahan, chi2_kahan_avx
116644.3277968345871755673215375281870365, 116644.3277968344482360407710075378417969, 116644.327796834587410046424338361248374, 116644.3277968345937551930546760559082031, 116644.3277968345937551930546760559082031
116645.1101778431614235387314693070948124, 116645.1101778427691897377371788024902344, 116645.1101778431614377495861845090985298, 116645.1101778431620914489030838012695312, 116645.1101778431620914489030838012695312
116643.5496940138603036984932259656488895, 116643.5496940137527417391538619995117188, 116643.5496940138602752767837955616414547, 116643.5496940138546051457524299621582031, 116643.5496940138691570609807968139648438
116647.1696410711363256496042595244944096, 116647.169641071115620434284210205078125, 116647.169641071136240384475968312472105, 116647.1696410711301723495125770568847656, 116647.1696410711447242647409439086914062
116641.541609722684178507279284531250596, 116641.5416097231936873868107795715332031, 116641.5416097226840363987321325112134218, 116641.5416097226843703538179397583007812, 116641.5416097226843703538179397583007812
116644.4312856301032610417678370140492916, 116644.4312856301548890769481658935546875, 116644.4312856301032894634772674180567265, 116644.431285630096681416034698486328125, 116644.431285630096681416034698486328125
116644.2245059454733890902389248367398977, 116644.2245059455744922161102294921875, 116644.2245059454736662019058712758123875, 116644.2245059454726288095116615295410156, 116644.2245059454726288095116615295410156
116645.3715899234419097751924709882587194, 116645.3715899234957760199904441833496094, 116645.3715899234419737240386893972754478, 116645.3715899234375683590769767761230469, 116645.3715899234375683590769767761230469
116643.3037942179240502582615590654313564, 116643.3037942177907098084688186645507812, 116643.303794217924135523389850277453661, 116643.3037942179216770455241203308105469, 116643.3037942179216770455241203308105469
116644.3310032576728971775992249604314566, 116644.3310032576846424490213394165039062, 116644.3310032576729824427275161724537611, 116644.3310032576700905337929725646972656, 116644.3310032576700905337929725646972656
116644.3245909525931693906386499293148518, 116644.324590952717699110507965087890625, 116644.3245909525931978123480803333222866, 116644.3245909525867318734526634216308594, 116644.3245909526012837886810302734375
116644.3598843989539801668797736056149006, 116644.3598843989020679146051406860351562, 116644.3598843989539517451703432016074657, 116644.3598843989602755755186080932617188, 116644.3598843989602755755186080932617188
116644.295763559767237893538549542427063, 116644.2957635597413172945380210876464844, 116644.2957635597674084237951319664716721, 116644.2957635597704211249947547912597656, 116644.295763559755869209766387939453125
116644.4599543882658778670702304225414991, 116644.4599543881195131689310073852539062, 116644.4599543882657144422410055994987488, 116644.4599543882650323212146759033203125, 116644.4599543882650323212146759033203125
116644.1914977229766492428097990341484547, 116644.1914977229753276333212852478027344, 116644.1914977229766776645192294381558895, 116644.1914977229753276333212852478027344, 116644.1914977229753276333212852478027344
116644.7918987918853446217326563782989979, 116644.791898792027495801448822021484375, 116644.7918987918852167240402195602655411, 116644.7918987918819766491651535034179688, 116644.7918987918819766491651535034179688
116643.8080464671995457592856837436556816, 116643.8080464671802474185824394226074219, 116643.8080464671994747050121077336370945, 116643.8080464671947993338108062744140625, 116643.8080464671947993338108062744140625
116644.3302264691031524534992058761417866, 116644.3302264688245486468076705932617188, 116644.3302264691033514054652187041938305, 116644.3302264691010350361466407775878906, 116644.3302264691155869513750076293945312
116644.3253564508498101304212468676269054, 116644.3253564507176633924245834350585938, 116644.32535645084989539554953807964921, 116644.3253564508486306294798851013183594, 116644.3253564508486306294798851013183594
116644.3516025183132711617872701026499271, 116644.3516025180870201438665390014648438, 116644.3516025183133706377702765166759491, 116644.3516025183198507875204086303710938, 116644.3516025183198507875204086303710938
116644.3028661903311586911513586528599262, 116644.3028661903954343870282173156738281, 116644.3028661903310592151683522388339043, 116644.3028661903372267261147499084472656, 116644.3028661903372267261147499084472656
116644.9667195041378562336831237189471722, 116644.9667195043148240074515342712402344, 116644.9667195041378491282557661179453135, 116644.9667195041402010247111320495605469, 116644.9667195041256491094827651977539062
